Exam_Code,Certification_Name,Vendor,Level,Overview,Objective,Learning_Path
Microsoft Applied Skills,Create and manage model-driven apps with Power Apps and Dataverse,Microsoft,Intermediate,"To earn this Microsoft Applied Skills credential, learners demonstrate the ability to build model-driven apps by using Microsoft Power Apps.","To earn this Microsoft Applied Skills credential, learners demonstrate the ability to build model-driven apps by using Microsoft Power Apps. Candidates for this credential should be familiar with:", Module 1. Create and manage model-driven apps with Power Apps and Dataverse.
Microsoft Applied Skills,Defend against cyberthreats with Microsoft Defender XDR,Microsoft,Intermediate,"To earn this Microsoft Applied Skills credential, learners demonstrate the ability to use Microsoft Defender XDR to detect and respond to cyberthreats.","To earn this Microsoft Applied Skills credential, learners demonstrate the ability to use Microsoft Defender XDR to detect and respond to cyberthreats. Candidates for this credential should be familiar with investigating and gathering evidence about attacks on endpoints. They should also have experience using Microsoft Defender for Endpoint and Kusto Query Language (KQL).", Module 1. Defend against cyberthreats with Microsoft Defender XDR.
Microsoft Applied Skills,Deploy and administer Linux virtual machines on Microsoft Azure,Microsoft,Intermediate,This Applied Skills assessment has been retired.Explore other Applied Skillsto keep building your skills.,"This Applied Skills assessment has been retired.Explore other Applied Skillsto keep building your skills. To earn this Microsoft Applied Skills credential, learners demonstrate the ability to deploy and administer Linux virtual machines (VMs) on Azure. Candidates perform tasks in the context of the current LTS version of the Ubuntu Server distribution. Candidates for this credential should be familiar with the fundamentals of Azure and Linux and should have experience administering VMs on Azure.", Module 1. Deploy and administer Linux virtual machines on Azure.
Microsoft Applied Skills,Deploy and configure Azure Monitor,Microsoft,Intermediate,"To earn this Microsoft Applied Skills credential, learners demonstrate the ability to deploy and configure monitoring for Azure infrastructure.","To earn this Microsoft Applied Skills credential, learners demonstrate the ability to deploy and configure monitoring for Azure infrastructure. Candidates for this assessment lab should be familiar with operating systems, networking, servers, and virtualization.", Module 1. Deploy and configure Azure Monitor.
Microsoft Applied Skills,Deploy and manage Microsoft Azure Arc–enabled servers,Microsoft,Intermediate,"Candidates for this credential should have experience creating resources by using the Azure portal, working with cloud and on-premises management platforms, and managing virtual machines (VMs) and databases as if the VMs and databases are running in Azure. They should also know how to automate tasks by using PowerShell and the Azure CLI and should be able to implement Azure Arc governance by using Azure Policy.","Candidates for this credential should have experience creating resources by using the Azure portal, working with cloud and on-premises management platforms, and managing virtual machines (VMs) and databases as if the VMs and databases are running in Azure. They should also know how to automate tasks by using PowerShell and the Azure CLI and should be able to implement Azure Arc governance by using Azure Policy. For this credential, candidates should have an understanding of security concepts, like identities, permissions, and encryption, in addition to networking concepts, like virtual networks and subnetting.", Module 1. Deploy and manage Azure Arc-enabled Servers.
Microsoft Applied Skills,Deploy cloud-native apps using Azure Container Apps,Microsoft,Intermediate,"To earn this Microsoft Applied Skills credential, learners demonstrate the ability to deploy cloud-native applications using Azure Container Apps.","To earn this Microsoft Applied Skills credential, learners demonstrate the ability to deploy cloud-native applications using Azure Container Apps. Candidates should be familiar with Azure platform services, as well as container-related technologies. Candidates for this credential should be familiar with:", Module 1. Deploy cloud-native apps using Azure Container Apps.
Microsoft Applied Skills,Deploy containers by using Azure Kubernetes Service,Microsoft,Intermediate,This Applied Skills assessment has been retired.Explore other Applied Skillsto keep building your skills.,"This Applied Skills assessment has been retired.Explore other Applied Skillsto keep building your skills. To earn this Microsoft Applied Skills credential, learners demonstrate the ability to work with containers, container orchestration with Kubernetes, and manage clusters on Azure Kubernetes Service (AKS). Candidates for this credential must have experience with Azure administration and with deploying resources in Azure. They should also have a basic understanding of Azure Policy, Kubernetes, and AKS concepts, including docker and kubectl commands.", Module 1. Deploy cloud-native apps using Azure Container Apps.
Microsoft Applied Skills,Develop an ASP.NET Core web app that consumes an API,Microsoft,Intermediate,"To earn this Microsoft Applied Skills credential, learners demonstrate the ability to develop an ASP.NET Core Blazor Web app that consumes an API to retrieve, create, and update data.","To earn this Microsoft Applied Skills credential, learners demonstrate the ability to develop an ASP.NET Core Blazor Web app that consumes an API to retrieve, create, and update data. Candidates for this credential should have experience developing ASP.NET Core Blazor Web apps by using Visual Studio Code.", Module 1. Develop an ASP.NET Core web app that consumes an API.
Microsoft Applied Skills,Develop data-driven applications by using Microsoft Azure SQL Database,Microsoft,Intermediate,"To earn this Microsoft Applied Skills credential, learners demonstrate the ability to develop data-driven applications by using Microsoft Azure SQL Database.","To earn this Microsoft Applied Skills credential, learners demonstrate the ability to develop data-driven applications by using Microsoft Azure SQL Database. Candidates for this credential should have experience developing data-driven applications. They should also be familiar with the Azure ecosystem and the components involved in developing applications that include Azure SQL Database. Candidates need a basic understanding of Git-based source control, in addition to how REST APIs interact with Azure SQL Database for data operations.", Module 1. Develop data-driven applications by using Azure SQL Database.
Microsoft Applied Skills,Develop generative AI apps with Azure OpenAI and Semantic Kernel,Microsoft,Intermediate,"The English language version of this Applied Skill assessment lab was updated on April 30, 2025. Review the study guide linked in theApplied Skills resourcessection for details about these changes.","The English language version of this Applied Skill assessment lab was updated on April 30, 2025. Review the study guide linked in theApplied Skills resourcessection for details about these changes. To earn this Microsoft Applied Skills credential, learners demonstrate the ability to develop AI agents by using Azure OpenAI Service and the Semantic Kernel SDK. Candidates for this credential should be familiar with Visual Studio Code, C programming, and Azure OpenAI.", Module 1. Develop generative AI apps with Azure OpenAI and Semantic Kernel.
Microsoft Applied Skills,Develop generative AI solutions with Azure OpenAI Service,Microsoft,Intermediate,This Applied Skills assessment has been retired.Explore other Applied Skillsto keep building your skills.,"This Applied Skills assessment has been retired.Explore other Applied Skillsto keep building your skills. To earn this Microsoft Applied Skills credential, learners demonstrate the ability to develop generative AI solutions with Azure OpenAI Service. Candidates for this credential should be familiar with Azure services and have experience developing applications by using C or Python.", Module 1. Develop generative AI apps with Azure OpenAI and Semantic Kernel.
Microsoft Applied Skills,Extend Microsoft 365 Copilot with declarative agents by using Visual Studio Code,Microsoft,Intermediate,"To earn this Microsoft Applied skills credential, learners demonstrate the ability to extend Microsoft 365 Copilot with declarative agents by using Visual Studio Code.","To earn this Microsoft Applied skills credential, learners demonstrate the ability to extend Microsoft 365 Copilot with declarative agents by using Visual Studio Code. Candidates for this credential should have a solid understanding of working with Microsoft 365, Microsoft Teams, Microsoft 365 Copilot, Visual Studio Code, and the Teams toolkit. They should also have experience with:", Module 1. MS-4010 - Extend Microsoft 365 Copilot with declarative agents by using Visual Studio Code.
Microsoft Applied Skills,Get started with Azure management tasks,Microsoft,Beginner,"To earn this Microsoft Applied Skills credential, learners demonstrate the ability to complete basic compute, network, and storage tasks in Azure given specific requirements.","To earn this Microsoft Applied Skills credential, learners demonstrate the ability to complete basic compute, network, and storage tasks in Azure given specific requirements. As a candidate for this credential, you should be familiar with Azure services.", Module 1. Introduction to Microsoft Azure Management tasks.
Microsoft Applied Skills,"Get started with classes, properties, and methods in C#",Microsoft,Beginner,"To earn this Microsoft Applied Skills credential, learners demonstrate beginner level skills at developing classes with properties and methods in C.","To earn this Microsoft Applied Skills credential, learners demonstrate beginner level skills at developing classes with properties and methods in C. Candidates for this credential should have a basic understanding of working with the Visual Studio Code development environment and C programming tasks."," Module 1. Implement classes, properties, and methods."
